"osm_id","access","addr:housename","addr:housenumber","addr:interpolation","admin_level","aerialway","aeroway","amenity","area","barrier","bicycle","brand","bridge","boundary","building","capital","construction","covered","culvert","cutting","denomination","disused","ele","embankment","foot","generator:source","harbour","highway","historic","horse","intermittent","junction","landuse","layer","leisure","lock","man_made","military","motorcar","name","natural","office","oneway","operator","place","population","power","power_source","public_transport","railway","ref","religion","route","service","shop","sport","surface","toll","tourism","tower:type","tunnel","water","waterway","wetland","width","wood","z_order","way"
9171873627,,,,,,,,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2369000.6032635346 5011054.784067483)
8921994552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2368178.575615721 5010511.776947698)
8921994545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2367921.2717447015 5010444.470953017)
8913073898,,,,,,,,,,,,,,,,,,,,,,,"1854",,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2367529.1043105857 5010468.538249056)
8913073897,,,,,,,,,,,,,,,,,,,,,,,"1863",,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2367679.853165018 5011376.620795869)
8915801655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Орлово Седло,saddle,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2367620.319501342 5011311.329347208)
8913707574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Касап Бунар,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2369732.606839144 5012575.365352633)
9551484293,,,,,,,,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zabov kladenec,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2370493.319711429 5012499.755446097)
2036281796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Орехово,,,,,village,,,,,,,,,,,,,,,,,,,,,,,POINT (2372357.2866611187 5009865.605541336)
8922086690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2371668.9314578497 5011956.357887013)
8944983139,,,,,,,,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2371790.1138555272 5012621.519250248)
8944663292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,picnic_table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2371790.7595085735 5012618.746175107)
8944983140,,,,,,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2371789.390278837 5012559.789014782)
8944667428,,,,,,,,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2371790.2919667126 5012558.254982859)
8944553801,,,,,,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2371861.3805935327 5012918.582130449)
8944983138,,,,,,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2371849.0686578513 5012911.737737287)
